,Df,SumOfSqs,R2,F,Pr(>F)
Gender,1,0.321008940312218,0.00738592778655319,1.05936583735003,0.338
BMI,1,0.376164031203658,0.00865496259283844,1.2413838801793,0.198
Group,2,0.845244600430163,0.0194477934934748,1.39470142642973,0.098
Residual,138,41.8167475306729,0.962139799688067,,
Total,142,43.4622365109833,1,,
