feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Clostridium_sp_AM33_3	Gender	Male	-0.000290079817641697	0.000155178974960399	56	25	0.0672137330925014	0.659383589655642
s__Alistipes_putredinis	BMI	BMI	-0.00639909946617159	0.00296196778778953	56	56	0.0353697035714056	0.659383589655642
s__Alistipes_putredinis	Disease	Psoriasis	-0.0123579136050839	0.00632175028912784	56	56	0.0559892944231892	0.659383589655642
s__Alistipes_sp_AF17_16	Gender	Male	0.000417869669812182	0.000237999390276706	56	27	0.0850183956037448	0.659383589655642
s__Alistipes_sp_AF17_16	BMI	BMI	-0.000240829047031036	0.000110102446364441	56	27	0.0332390806510946	0.659383589655642
s__Clostridium_butyricum	Disease	Psoriasis	-3.19452049211458e-05	1.80656510350399e-05	56	11	0.0828793854720465	0.659383589655642
s__Alistipes_finegoldii	BMI	BMI	-0.00180035697527007	0.000820618519912868	56	34	0.032735011968959	0.659383589655642
s__Bacteroides_fluxus	BMI	BMI	9.67532202227048e-07	4.98284765696751e-07	56	6	0.0575972013953195	0.659383589655642
s__Bacteroides_fluxus	Disease	Psoriasis	1.95213250835196e-06	1.06349295039507e-06	56	6	0.0721402996204806	0.659383589655642
s__Bacteroides_nordii	Gender	Male	0.0179393845135097	0.0098644766570778	56	38	0.0747360406745989	0.659383589655642
s__Bacteroides_ovatus	Gender	Male	-0.0215676680588546	0.0113691686173692	56	56	0.063383804680745	0.659383589655642
s__Alistipes_onderdonkii	Gender	Male	0.0157045675419298	0.00823689913985088	56	46	0.0621034141706843	0.659383589655642
s__Alistipes_onderdonkii	Disease	Psoriasis	-0.0148257014137943	0.00813283344399326	56	46	0.0740630338477778	0.659383589655642
s__Sellimonas_intestinalis	BMI	BMI	1.00613554394353e-05	5.3142644010646e-06	56	8	0.06389212348246	0.659383589655642
s__Alistipes_indistinctus	Gender	Male	0.00159639952988675	0.000904840502422928	56	22	0.0835568807135525	0.659383589655642
s__Veillonella_dispar	Disease	Psoriasis	-1.80984553817295e-05	1.00869248408924e-05	56	10	0.0785878155011206	0.659383589655642
s__Veillonella_parvula	Gender	Male	-0.00423563499689633	0.00205056674871779	56	27	0.0438670528466764	0.659383589655642
s__Veillonella_parvula	BMI	BMI	0.00173753188378314	0.000948626024650384	56	27	0.0727373822489599	0.659383589655642
s__Enterocloster_bolteae	Disease	Psoriasis	-0.00248313433381082	0.00115894041792223	56	40	0.0368475260907476	0.659383589655642
s__Megasphaera_hominis	Gender	Male	0.000292088025205592	0.000151759356767807	56	8	0.0597486474897169	0.659383589655642
s__Anaerotignum_faecicola	BMI	BMI	-0.000202153339955634	0.000111230099484202	56	32	0.0749145365907684	0.659383589655642
s__Dysosmobacter_sp_BX15	BMI	BMI	-0.000686694050200305	0.000315965614334094	56	29	0.0343335003993232	0.659383589655642
s__Bacteroides_stercoris	Gender	Male	-0.0424418791806548	0.0201194149542031	56	56	0.0397338825331413	0.659383589655642
s__Butyricicoccus_SGB14990	BMI	BMI	-0.000263769863261991	0.000106433885951798	56	7	0.0164863677636809	0.659383589655642
s__Butyricicoccus_SGB14990	Disease	Psoriasis	0.000453412924426385	0.000227162649122162	56	7	0.0511851401622693	0.659383589655642
s__Bacteroides_sp_AF16_49	Disease	Psoriasis	-0.00135699256452885	0.000716472793590651	56	22	0.0637948747096331	0.659383589655642
s__Harryflintia_acetispora	Gender	Male	8.07580716716769e-06	4.2723409076175e-06	56	8	0.06430313488192	0.659383589655642
s__Harryflintia_acetispora	Disease	Psoriasis	-7.6747814765078e-06	4.21836378322355e-06	56	8	0.0746137842450742	0.659383589655642
s__Enterocloster_citroniae	BMI	BMI	-8.02354690959778e-05	4.54591525784863e-05	56	27	0.0834356369794455	0.659383589655642
s__Ruminococcus_sp_AF13_28	Gender	Male	0.000827878561091681	0.000398050606256503	56	42	0.0424873625325966	0.659383589655642
s__Ruminococcus_sp_AF13_28	Disease	Psoriasis	-0.000692362152633018	0.000393021600483418	56	42	0.0840086221125734	0.659383589655642
s__Prevotella_copri_clade_B	BMI	BMI	-0.000418292541041079	0.000174192585825512	56	11	0.019946231413177	0.659383589655642
s__Prevotella_copri_clade_B	Disease	Psoriasis	0.000784378602820518	0.000371780555597523	56	11	0.0397077057715418	0.659383589655642
s__Prevotella_copri_clade_D	BMI	BMI	-0.00668886117852037	0.00276164091490388	56	8	0.0189544435046627	0.659383589655642
s__Prevotella_copri_clade_D	Disease	Psoriasis	0.0122132367832377	0.00589419112666645	56	8	0.0432337027235288	0.659383589655642
s__Flavonifractor_plautii	BMI	BMI	-0.000583113510821267	0.000306385692387825	56	51	0.0625567060780288	0.659383589655642
