ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__GGB3265;s__GGB3265_SGB4313,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Peptostreptococcaceae,g__GGB3265,s__GGB3265_SGB4313,0.0833991714765943,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__GGB3265;s__GGB3265_SGB4313
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Hafnia;s__Hafnia_paralvei,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Hafniaceae,g__Hafnia,s__Hafnia_paralvei,0.064515878087456,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Hafnia;s__Hafnia_paralvei
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_piriformis,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Slackia,s__Slackia_piriformis,0.0243611206769258,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_piriformis
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas_SGB5909,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas_SGB5909,0.0508066983884555,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas_SGB5909
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__GGB6529;s__GGB6529_SGB9222,k__Bacteria,Others,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__GGB6529,s__GGB6529_SGB9222,0.0851505140379671,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__GGB6529;s__GGB6529_SGB9222
k__Bacteria;p__Firmicutes;c__CFGB3172;o__OFGB3172;f__FGB3172;g__GGB10692;s__GGB10692_SGB17347,k__Bacteria,p__Firmicutes,c__CFGB3172,o__OFGB3172,f__FGB3172,g__GGB10692,s__GGB10692_SGB17347,0.0295507625750925,k__Bacteria;p__Firmicutes;c__CFGB3172;o__OFGB3172;f__FGB3172;g__GGB10692;s__GGB10692_SGB17347
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3637;s__GGB3637_SGB4930,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__GGB3637,s__GGB3637_SGB4930,0.052948823464008,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3637;s__GGB3637_SGB4930
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB1554;s__GGB1554_SGB2141,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB1554,s__GGB1554_SGB2141,0.103124232967603,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB1554;s__GGB1554_SGB2141
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9611;s__GGB9611_SGB2124,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB9611,s__GGB9611_SGB2124,0.0855091483229583,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9611;s__GGB9611_SGB2124
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__GGB80093;s__GGB80093_SGB1810,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__GGB80093,s__GGB80093_SGB1810,0.122115037318212,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__GGB80093;s__GGB80093_SGB1810
k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,k__Bacteria,p__Firmicutes,c__CFGB1201,o__OFGB1201,f__FGB1201,g__GGB2958,s__GGB2958_SGB3940,0.0291069387105802,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940
k__Bacteria;p__Firmicutes;c__CFGB1347;o__OFGB1347;f__FGB1347;g__GGB3289;s__GGB3289_SGB4343,k__Bacteria,p__Firmicutes,c__CFGB1347,o__OFGB1347,f__FGB1347,g__GGB3289,s__GGB3289_SGB4343,0.0323824249331938,k__Bacteria;p__Firmicutes;c__CFGB1347;o__OFGB1347;f__FGB1347;g__GGB3289;s__GGB3289_SGB4343
k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985;f__FGB2985;g__GGB9350;s__GGB9350_SGB14317,k__Bacteria,p__Firmicutes,c__CFGB2985,o__OFGB2985,f__FGB2985,g__GGB9350,s__GGB9350_SGB14317,0.0165637682693663,k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985;f__FGB2985;g__GGB9350;s__GGB9350_SGB14317
k__Bacteria;p__Firmicutes;c__CFGB2918;o__OFGB2918;f__FGB2918;g__GGB9240;s__GGB9240_SGB14182,k__Bacteria,p__Firmicutes,c__CFGB2918,o__OFGB2918,f__FGB2918,g__GGB9240,s__GGB9240_SGB14182,0.0299797867089409,k__Bacteria;p__Firmicutes;c__CFGB2918;o__OFGB2918;f__FGB2918;g__GGB9240;s__GGB9240_SGB14182
k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862;g__GGB4750;s__GGB4750_SGB6579,k__Bacteria,Others,c__CFGB4862,o__OFGB4862,f__FGB4862,g__GGB4750,s__GGB4750_SGB6579,0.0340332373105564,k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862;g__GGB4750;s__GGB4750_SGB6579
