"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"k__Bacteria;p__Bacteroidetes;c__CFGB76256;o__OFGB76256;f__FGB76256;g__GGB1109;s__GGB1109_SGB1423",16,0.108159392789374,1881,16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3510;s__GGB3510_SGB4687",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__GGB1364;s__GGB1364_SGB1833",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_sp_AM59_24XD",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_chh4_2",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Gallibacter;s__Gallibacter_intestinalis",15,0.0902970297029703,227,15
"k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_hominis",15,0.0902612826603325,0,15
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_faecicola",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB9400;s__GGB9400_SGB14745",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella_sp_AF16_14LB",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella;s__Christensenella_minuta",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella_porci",15,0.0902612826603325,0,15
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter_pamelaeae",16,0.108159392789374,1881,16
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Raoultibacter;s__Raoultibacter_massiliensis",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__Emergencia;s__Emergencia_timonensis",18,0.0985732814526589,60.571428571429,18
"k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_SGB53821",1,1,0,1
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus_salivarius",10,0.535211267605634,261,10
"k__Bacteria;p__Firmicutes;c__CFGB1211;o__OFGB1211;f__FGB1211;g__GGB2970;s__GGB2970_SGB3952",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Bacteroidetes;c__CFGB544;o__OFGB544;f__FGB544;g__GGB1123;s__GGB1123_SGB1437",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Firmicutes;c__CFGB76786;o__OFGB76786;f__FGB76786;g__GGB3047;s__GGB3047_SGB47238",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__GGB1407;s__GGB1407_SGB1930",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__GGB30455;s__GGB30455_SGB72339",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger;s__Gemmiger_SGB1481",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri_clade_G",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB51959;s__GGB51959_SGB72479",14,0.0951983298538622,227,14
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_SGB15266",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB4716;s__GGB4716_SGB14929",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Lawsonibacter;s__Lawsonibacter_sp_NSJ_52",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella_massiliensis",14,0.104347826086957,0,14
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_NSJ_31",17,0.115501519756839,1894.5,17
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_NSJ_33",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Oscillospiraceae_bacterium_NSJ_64",16,0.104491292392301,32.9945054945055,16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Parachristensenella;s__Candidatus_Parachristensenella_avicola",18,0.115560060821085,2105.57142857143,18
"k__Bacteria;p__Firmicutes;c__CFGB3069;o__OFGB3069;f__FGB3069;g__GGB9770;s__GGB9770_SGB15390",12,1,0,12
"k__Bacteria;p__Firmicutes;c__CFGB9773;o__OFGB9773;f__FGB9773;g__GGB25158;s__GGB25158_SGB42321",12,1,0,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3653;s__GGB3653_SGB4964",12,1,0,12
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__GGB9425;s__GGB9425_SGB14795",12,1,0,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_OM07_10AC",12,1,0,12
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_equolifaciens",12,1,0,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus_sp_AF46_10NS",12,1,0,12
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa",12,1,0,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Avispirillum;s__Candidatus_Avispirillum_faecium",12,1,0,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Geddesella;s__Candidatus_Geddesella_stercoravicola",12,1,0,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Candidatus_Borkfalkiales;f__Candidatus_Borkfalkiaceae;g__Candidatus_Borkfalkia;s__Candidatus_Borkfalkia_ceftriaxoniphila",12,1,0,12
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified;s__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified_SGB71368",12,1,0,12
"k__Bacteria;p__Firmicutes;c__CFGB9581;o__OFGB9581;f__FGB9581;g__GGB9581;s__GGB9581_SGB4365",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB2982;o__OFGB2982;f__FGB2982;g__GGB9342;s__GGB9342_SGB14306",75,0.182108626198083,75.0000000000002,75
"k__Bacteria;p__Firmicutes;c__CFGB2960;o__OFGB2960;f__FGB2960;g__GGB9302;s__GGB9302_SGB14263",76,0.191275167785235,2763.33333333333,76
"k__Bacteria;p__Firmicutes;c__CFGB2942;o__OFGB2942;f__FGB2942;g__GGB9288;s__GGB9288_SGB14243",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB3069;o__OFGB3069;f__FGB3069;g__GGB9767;s__GGB9767_SGB15385",76,0.210138248847926,11498.332455216,76
"k__Bacteria;p__Firmicutes;c__CFGB4623;o__OFGB4623;f__FGB4623;g__GGB9525;s__GGB9525_SGB14925",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB3040;o__OFGB3040;f__FGB3040;g__GGB9542;s__GGB9542_SGB14947",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862;g__GGB4750;s__GGB4750_SGB6579",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB2947;o__OFGB2947;f__FGB2947;g__GGB9285;s__GGB9285_SGB14238",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB9238;o__OFGB9238;f__FGB9238;g__GGB74463;s__GGB74463_SGB54347",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB2915;o__OFGB2915;f__FGB2915;g__GGB36267;s__GGB36267_SGB14177",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB10314;o__OFGB10314;f__FGB10314;g__GGB4703;s__GGB4703_SGB6510",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB73062;o__OFGB73062;f__FGB73062;g__GGB9059;s__GGB9059_SGB13976",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB15209;o__OFGB15209;f__FGB15209;g__GGB9293;s__GGB9293_SGB14250",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB10477;o__OFGB10477;f__FGB10477;g__GGB9345;s__GGB9345_SGB14311",76,0.191275167785235,2763.33333333333,76
"k__Bacteria;p__Firmicutes;c__CFGB73223;o__OFGB73223;f__FGB73223;g__GGB9249;s__GGB9249_SGB14193",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB10021;o__OFGB10021;f__FGB10021;g__GGB9258;s__GGB9258_SGB14205",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Bacteroidetes;c__CFGB1670;o__OFGB1670;f__FGB1670;g__GGB47687;s__GGB47687_SGB2286",75,0.182108626198083,75.0000000000002,75
"k__Bacteria;p__Proteobacteria;c__CFGB2429;o__OFGB2429;f__FGB2429;g__GGB80073;s__GGB80073_SGB9385",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB10021;o__OFGB10021;f__FGB10021;g__GGB13402;s__GGB13402_SGB14203",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__CFGB76465;o__OFGB76465;f__FGB76465;g__GGB80140;s__GGB80140_SGB15224",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB6518;s__GGB6518_SGB9205",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB9691;s__GGB9691_SGB15198",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4567;s__GGB4567_SGB6308",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB9060;s__GGB9060_SGB13977",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4549;s__GGB4549_SGB6271",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4559;s__GGB4559_SGB6293",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4653;s__GGB4653_SGB6440",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB3341;s__GGB3341_SGB4420",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_schinkii",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB9677;s__GGB9677_SGB15180",81,0.207272727272727,87.9174939456121,81
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9634;s__GGB9634_SGB15101",81,0.207272727272727,87.9174939456121,81
