"z","module","p","roles","label","role_7"
0.323246519749521,"2",0.0849382716049383,"Peripherals","","peripheral"
0.162149720004646,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.374839612478272,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.106344946236813,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.374839612478272,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.535936412223147,"2",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.252916380746986,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0,"Peripherals","","ultra peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.2408,"Peripherals","","peripheral"
0.328182593246652,"51",0.252916380746986,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.615342362337472,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0.0849382716049383,"Peripherals","","peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
-2.83057486675237,"51",0,"Peripherals","","ultra peripheral"
-2.83057486675237,"51",0,"Peripherals","","ultra peripheral"
0.328182593246652,"51",0,"Peripherals","","ultra peripheral"
-2.83057486675237,"51",0,"Peripherals","","ultra peripheral"
1.51558343817959,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0.145429362880886,"Peripherals","","peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0.145429362880886,"Peripherals","","peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
0.617459919258351,"5",0,"Peripherals","","ultra peripheral"
