ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified;s__Methanomassiliicoccaceae_unclassified_SGB380,k__Archaea,Others,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccaceae_unclassified,s__Methanomassiliicoccaceae_unclassified_SGB380,0.0766474298456514,k__Archaea;p__Candidatus_Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae_unclassified;s__Methanomassiliicoccaceae_unclassified_SGB380
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_SGB6369,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_SGB6369,0.18387855608276,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_SGB6369
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_SGB6370,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_SGB6370,0.513621489198537,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_SGB6370
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_SGB6372,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_SGB6372,0.1076314177604,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_SGB6372
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__GGB80093;s__GGB80093_SGB1810,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__GGB80093,s__GGB80093_SGB1810,0.217207017664089,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__GGB80093;s__GGB80093_SGB1810
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Pseudoglutamicibacter;s__Pseudoglutamicibacter_SGB14255,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Micrococcaceae,g__Pseudoglutamicibacter,s__Pseudoglutamicibacter_SGB14255,0.116967174944888,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Pseudoglutamicibacter;s__Pseudoglutamicibacter_SGB14255
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Sanguibacteraceae;g__Sanguibacter;s__Sanguibacter_SGB15121,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Sanguibacteraceae,g__Sanguibacter,s__Sanguibacter_SGB15121,0.489100479333047,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Sanguibacteraceae;g__Sanguibacter;s__Sanguibacter_SGB15121
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Sanguibacteraceae;g__Sanguibacter;s__Sanguibacter_SGB53806,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Sanguibacteraceae,g__Sanguibacter,s__Sanguibacter_SGB53806,0.127614993825515,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Sanguibacteraceae;g__Sanguibacter;s__Sanguibacter_SGB53806
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_acidifaciens,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium_acidifaciens,0.0946538401118549,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_acidifaciens
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium_massiliense,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium_massiliense,0.107766097482519,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium_massiliense
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella_SGB72492,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella_SGB72492,0.105089432363146,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella_SGB72492
