source,target,correlation,direct,cor
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_sp_AF16_48,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio_crossotus,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus_callidus,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_faecalis,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9785;s__GGB9785_SGB15408,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__GGB9781;s__GGB9781_SGB15402,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus;s__Butyricicoccus_SGB14990,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB51959;s__GGB51959_SGB72479,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Turicimonas;s__Turicimonas_muris,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibacillus;s__Faecalibacillus_faecis,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,1,undirected,+
