"","Control.A01","Control.A02","Control.A03","Control.A04","Control.A05","Control.A06","Control.A07","Control.A08","Control.A09","Control.A10","Control.A11","Control.A12","Control.A13","Control.A14","Control.A15","Control.A16","Control.A17","Control.A18","Control.A19","Control.A20","Control.A21","Control.A22","Control.A23","Control.A24","Control.A25","Control.A26","Control.A27","Control.A28","PsO.A01","PsO.A02","PsO.A03","PsO.A04","PsO.A05","PsO.A06","PsO.A07","PsO.A08","PsO.A09","PsO.A10","PsO.A11","PsO.A12","PsO.A13","PsO.A14","PsO.A15","PsO.A16","PsO.A17","PsO.A18","PsO.A19","PsO.A20","PsO.A21","PsO.A22","PsO.A23","PsO.A24","PsO.A25","PsO.A26","PsO.A27","PsO.A28"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia",0,0,124.624482319344,0,0,46.3473791038648,0,28.085615315854,0,126.11634789932,0,0,0,3.64380597203857,52.6326515454041,0,18.7265520815582,0,0,28.0767007248316,5.23926461177787,0,0,0,0,0,68.9478632163739,5.95914399079625,0,1832.96686938624,84.8284984861214,166.151543942196,90.9427740137137,94.0587860901185,460.63242002268,0,0,0,0,8.74189936986055,0,2957.51787290101,0,0,0,0,127.30650674382,0,282.131922640943,20.890284162634,3264.1838159203,319.903199669171,52.1983260989549,0,1940.57948727185,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas",0,0,0,2076.96873731278,0,0,0,1054.75336877046,0,2760.0259594141,0,0,0,0,0,0,0,3479.6435444935,0,0,9270.239576267,0,0,0,0,1287.02229901662,0,0,2398.3675991323,0,0,0,4390.96719252206,35632.5302682718,8090.45682362887,14.00759735539,716.219694125778,5388.13318575889,2.98502397191342,0,68.2512141273289,9831.88829561378,0,11176.9663907889,64415.2020299224,14381.8273672729,84.9009519216016,7480.00523431518,0,5515.38138634117,15.3236242901491,0,5593.0466385639,7029.00876146399,0,105.729613769173
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB6574",0,1.50562746026294,0,2.84233618053307,4.80006785238771,174.795829763147,0,3.0180212127702,21.5739586351147,18566.3215688237,1.79668762669143,0,0,0,0,0,0,0,0,0,5571.44479077204,69197.4866035054,8.72676344970546,0,0,0,0,0,0,0,0,0,0,0,0,0,14160.807386687,0,0,0,0,0,0,0,0,0,0,0,8440.09950875458,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella",5.41407811391663,15.5976238018251,21.1305110075965,0,0,0,19.8130524995863,0,24351.1669690198,16147.5579330042,0,0,0,0,0,0,0,5209.15099315766,0,7.73211758181227,114.093538985692,0,0,0,0,35846.5695975069,0,7.0015025106385,97.682099822974,0,11031.4349100956,24732.9591493793,42799.1320843138,0,43.9150618005649,9014.37611897103,44.9341138984279,29472.874900589,23083.7511974921,2228.78698025217,0,0,2.11172534405012,0,0,5924.12329902039,0,2922.50768843653,0,72.2825479989998,46442.6119034301,20553.4619916747,17303.284763805,2.4770235571712,5.19535216867854,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio",0,2.40223707143076,0,2395.41566124288,4323.81112015862,9392.50704530322,4008.80422409872,2870.70123700356,105.604810641703,973.306032347446,134037.388670248,5454.16888939962,4085.7752275709,395.50477321502,691.635147427847,2082.62189719823,4177.33278001215,26.2242721047177,0,2261.45329471704,726.223289967946,48.2652133301444,6585.68729697053,7.17711604154446,21.9088121007846,2550.25479427417,9421.9746437299,7071.04552433967,0,0,1588.48069225419,1523.10055601939,663.434023917163,78.1273993622478,523.026905999313,8736.68057661686,0,951.940170753153,10570.7116177748,1317.29496129586,166.03069834298,0,0,1159.45521637478,0,1.1722786729399,0,1646.14110678046,0,15351.349792698,36.1102853057369,0,0,0,7.27349303614995,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2677961423001,0,0,0,0,2.02317640896166,5.44301660703372,8.00506087492549,21.5406484674656,120114.447922808,0,0,0,0,0,0,0,0,0,7.82794739604786,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1385",0,0,0,4.33719446807268,0.664295104571514,0,0,15.090106063851,62462.2349552829,1.93495930974068,9.86181875095075,8.34013844817594,0,0,0,0,0,0,0,0,0,10.0727401732475,5.75173045548769,0,0,0,0,0,0,0,0,0,32154.0503751016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",0,9841.66077272726,3847.77667562591,10516.9807374456,8.12154337524528,217565.752986607,2491.50788106588,744.865653348777,73.4420586607449,55.5118326416714,19.0648520387813,5457.31404479941,890.348981429178,76.5768598811231,54.9274351527837,69470.8850172604,1207.21686608528,46.1221473561476,29.7553278973563,0,11.9008725374061,107.882244950774,2046.91084914758,146982.606995388,34.2727924591319,1990.37301884984,26980.3616898378,5471.16286637501,104.242691285044,1094.75552584531,938.415264502719,957.720046503643,1144.1371605759,0,0,0,7.1631369854816,274.353230614029,1228.79868632894,8054.26951260856,249.694130259893,0,0,11141.1086187813,682.369906742779,0,0,137.223572323493,0,1858.73738732858,304.089671912099,4658.93374026129,0,0,0,43.5619805723306
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_congonensis",0,0,0,24.4651454946624,91.6084378078459,45.584954685706,41.697770110364,51.0586126070899,57.1530592713276,23.004516238028,97.0810214288937,134307.727512248,0,0,0,0,0,0,0,0,0,26.7407268885024,141.523421399011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18925450730196,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis",0,0,0,5.49518328236393,9.70728007648051,59.5092322173433,24.1547336368705,7.97298141284069,135337.443987218,0,6.62778102290617,37.6323320222573,0,0,0,0,0,0,0,0,0,17.0477130313098,10.1371494617791,0,0,0,0,0,0,0,0,0,12601.550552672,0,0,0,35.5712734292157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
