"","feature","enrich_group","ef_lda","pvalue","padj"
"marker55","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae","Psoriasis","3.653369","1.609084e-02","1.609084e-02"
"marker56","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1354|s__GGB1354_SGB1818","Psoriasis","3.639328","4.908485e-02","4.908485e-02"
"marker57","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1354","Psoriasis","3.638763","4.908485e-02","4.908485e-02"
"marker58","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_SGB2313","Psoriasis","3.519935","1.035597e-02","1.035597e-02"
"marker59","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus","Psoriasis","3.248379","4.908485e-02","4.908485e-02"
"marker60","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella","Psoriasis","3.243348","2.921188e-02","2.921188e-02"
"marker61","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_SGB9260","Psoriasis","3.207608","2.586098e-02","2.586098e-02"
"marker62","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_fessum","Psoriasis","3.140218","3.743529e-02","3.743529e-02"
"marker63","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_G","Psoriasis","3.066379","1.491054e-02","1.491054e-02"
"marker64","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae","Psoriasis","2.903147","2.496171e-02","2.496171e-02"
"marker65","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia","Psoriasis","2.600176","4.321105e-02","4.321105e-02"
"marker66","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis","Psoriasis","2.600074","4.321105e-02","4.321105e-02"
"marker67","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB6179","Psoriasis","2.304404","4.581426e-03","4.581426e-03"
"marker68","k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB80011|s__GGB80011_SGB15267","Psoriasis","2.240292","2.819228e-02","2.819228e-02"
